system:index,station_ID,statistic
7_1,-111.375 32.375_stdDev,"[0.00468099554164573, 0.00299855348648673, 0.0028565611170106456, 0.0017356727036837054, 9.960715827654735E-4, 0.0022276745345426916, 0.0022019485614763797, 0.0027986717441947214, 0.0035063344874679734, 0.0019945807555520824, 0.0032924601299729396, 0.003323478148540546]"
7_2,-111.375 32.375_skew,"[3.528300123775253, 3.754309520166301, 5.0644090845720156, 7.8596750444433425, 12.233636657631836, 9.733878235448259, 4.394074739036711, 8.494899779117516, 4.809590681507018, 3.580093406638401, 4.618809313080619, 3.0161862751896535]"
7_3,-111.375 32.375_pWD,"[0.2371967654986523, 0.31560283687943264, 0.2792022792022792, 0.2773109243697479, 0.2109181141439206, 0.22163588390501318, 0.42857142857142855, 0.4621212121212121, 0.38114754098360654, 0.2607449856733524, 0.2693409742120344, 0.3192771084337349]"
7_4,-111.375 32.375_pWW,"[0.6465863453815262, 0.6855123674911661, 0.6319702602230484, 0.5925925925925926, 0.6082949308755761, 0.6244343891402715, 0.8829568788501027, 0.875, 0.7387640449438202, 0.6605166051660517, 0.6294820717131474, 0.6354166666666666]"
8_0,-111.125 32.375_mean,"[0.002287978528818088, 0.0016629361200311873, 9.457678534090519E-4, 5.260387006851416E-4, 2.4497891249864E-4, 4.460897296667099E-4, 0.0013145616180964648, 0.0011125749320659822, 0.0014781192457423112, 0.0010747642478378641, 0.0012867171388704658, 0.0018732338658112898]"
8_1,-111.125 32.375_stdDev,"[0.005320100360585105, 0.003746765057347574, 0.002859474380969866, 0.0021211229229416676, 0.0013136784313210147, 0.0023310694917184154, 0.0026743133074109836, 0.0025147142220806307, 0.004242826899214276, 0.0025725404770860962, 0.003719667412598546, 0.0040528986809592335]"
8_2,-111.125 32.375_skew,"[3.4040320310015337, 3.6471072192940857, 4.460489538660574, 7.242954727825804, 11.171194528715437, 10.195026193487092, 3.782754410360948, 4.587782386601312, 5.150174345783057, 3.7419743856829233, 4.415995290731625, 2.869579796279393]"
8_3,-111.125 32.375_pWD,"[0.2528409090909091, 0.31654676258992803, 0.2953846153846154, 0.28735632183908044, 0.2282051282051282, 0.24157303370786518, 0.49019607843137253, 0.5142857142857142, 0.4265402843601896, 0.27218934911242604, 0.28823529411764703, 0.34591194968553457]"
8_4,-111.125 32.375_pWW,"[0.667910447761194, 0.6933797909407665, 0.6711864406779661, 0.6031746031746031, 0.6130434782608696, 0.6516393442622951, 0.9034749034749034, 0.8951456310679612, 0.7686375321336761, 0.6702127659574468, 0.6269230769230769, 0.6390728476821192]"
9_0,-110.875 32.375_mean,"[0.002643800078248474, 0.002126096673803219, 0.0012298785058744981, 6.451599862215654E-4, 3.6296619131691814E-4, 5.606238611719825E-4, 0.0024445251160090074, 0.001898312074807259, 0.0019136545889311843, 0.0014489177658499495, 0.001550266074071474, 0.0023323915307483976]"
9_1,-110.875 32.375_stdDev,"[0.0059015103443834155, 0.004634356625169505, 0.0032248301986166636, 0.0023984365163641722, 0.0016064846533258303, 0.0023465127418637343, 0.004745892659295467, 0.003768837272705774, 0.005299812795919546, 0.0035775598971541003, 0.004413299819948346, 0.004969820498138479]"
9_2,-110.875 32.375_skew,"[3.171411789682779, 3.5287430948892498, 3.48006696915107, 6.538232047349101, 8.506761366741015, 9.429239879212773, 4.161361393192144, 4.046535767085099, 5.375921515240527, 4.602710207524705, 4.796072726321883, 2.991348659859287]"
9_3,-110.875 32.375_pWD,"[0.28059701492537314, 0.34220532319391633, 0.30990415335463256, 0.29850746268656714, 0.2568306010928962, 0.2852760736196319, 0.4634146341463415, 0.5333333333333333, 0.4426229508196721, 0.28173374613003094, 0.303951367781155, 0.3464052287581699]"
9_4,-110.875 32.375_pWW,"[0.6666666666666666, 0.7019867549668874, 0.6807817589576547, 0.6226415094339622, 0.6299212598425197, 0.6642335766423357, 0.929368029739777, 0.926605504587156, 0.8057553956834532, 0.6902356902356902, 0.6346863468634686, 0.6656050955414012]"
10_0,-110.625 32.375_mean,"[0.0032460892123395, 0.0028876311476587467, 0.0016573815329495487, 8.746037892035013E-4, 6.069329926012091E-4, 7.390939445601523E-4, 0.0030265300265388153, 0.002791083708337141, 0.0027243126687652246, 0.001916537286653634, 0.001862782634038856, 0.002973103662213636]"
10_1,-110.625 32.375_stdDev,"[0.0068415243421187846, 0.005976271680060556, 0.00397117368569703, 0.0028426173608780024, 0.0024409391239399894, 0.0028532167760066717, 0.005087192404528759, 0.004722483751706943, 0.006348384336405542, 0.00514688549342553, 0.005068117215145458, 0.0059945430961296665]"
10_2,-110.625 32.375_skew,"[3.114528541156536, 3.353984666933293, 3.0642233586472805, 5.623365097068224, 7.551680281018901, 10.85633173573252, 2.8651822613417948, 3.412263126417384, 5.234154316575527, 6.211165922915908, 4.937902621348234, 2.805950004844443]"
10_3,-110.625 32.375_pWD,"[0.2887537993920973, 0.3486590038314176, 0.3069306930693069, 0.3009118541033435, 0.256198347107438, 0.2971246006389776, 0.44155844155844154, 0.5333333333333333, 0.45161290322580644, 0.29449838187702265, 0.31384615384615383, 0.3431372549019608]"
10_4,-110.625 32.375_pWW,"[0.6701030927835051, 0.7006578947368421, 0.7034700315457413, 0.6346863468634686, 0.6381322957198443, 0.6759581881533101, 0.9373848987108656, 0.926605504587156, 0.7971014492753623, 0.7041800643086816, 0.6327272727272727, 0.6687898089171974]"
11_0,-113.125 32.125_mean,"[0.0011484544854937937, 0.001079542990559819, 8.446291420865156E-4, 3.381458127887936E-4, 1.9115392600570745E-4, 1.5086551840922134E-4, 7.245572039730919E-4, 7.514873837036165E-4, 9.125482594204503E-4, 0.0010249246284365653, 9.981953943877116E-4, 8.864151715910693E-4]"
11_1,-113.125 32.125_stdDev,"[0.0030863380965418068, 0.0028320444155989413, 0.0030984484635994407, 0.0013888017717956771, 0.001260398976089925, 5.984834003792812E-4, 0.0019827688448651646, 0.0018286937837049036, 0.0031541770958505647, 0.004652687321937117, 0.004598897641623891, 0.0030134326518689424]"
11_2,-113.125 32.125_skew,"[3.9450394353772227, 3.7616505572685375, 4.94975616897351, 5.801224381188874, 9.187005121725791, 5.591764337752887, 5.399234653345513, 7.332879445925871, 7.475738513744072, 8.085389911414712, 8.228248081156815, 6.038534090616031]"
11_3,-113.125 32.125_pWD,"[0.21173469387755103, 0.29276315789473684, 0.25268817204301075, 0.25396825396825395, 0.21241050119331742, 0.19298245614035087, 0.37320574162679426, 0.4444444444444444, 0.3686274509803922, 0.23306233062330622, 0.24054054054054055, 0.30612244897959184]"
11_4,-113.125 32.125_pWW,"[0.6359649122807017, 0.6590038314176245, 0.6169354838709677, 0.5675675675675675, 0.5572139303482587, 0.6169154228855721, 0.8126520681265207, 0.8181818181818182, 0.7246376811594203, 0.6533864541832669, 0.6130434782608696, 0.6245487364620939]"
12_0,-112.875 32.125_mean,"[0.0012136248566595644, 0.0011275471100925505, 8.859950014286571E-4, 3.895075206598893E-4, 1.9665958424066674E-4, 2.796747249321661E-4, 0.001303133511236895, 0.001106043834754798, 0.0011606076274691633, 9.097277146318685E-4, 9.27884494727951E-4, 9.88849867537296E-4]"
12_1,-112.875 32.125_stdDev,"[0.0029238653337722636, 0.003036497510703516, 0.0032759078220931403, 0.0015651225763313186, 0.0010971313131172447, 0.0013402517220921129, 0.0034272268301314282, 0.0026327839324898207, 0.003531450070342986, 0.00341225048922657, 0.004015996948338809, 0.003209057752940194]"
12_2,-112.875 32.125_skew,"[3.4159543031497486, 3.9204661267156227, 5.16533305702484, 6.013806053780633, 8.789555806595855, 9.886498466311433, 5.892881094838136, 6.382411419252965, 6.538865399397403, 5.799517068447777, 7.534943480668486, 5.767848335132283]"
12_3,-112.875 32.125_pWD,"[0.22164948453608246, 0.2986577181208054, 0.2615803814713896, 0.2572944297082228, 0.21342925659472423, 0.19592875318066158, 0.3802083333333333, 0.4444444444444444, 0.37549407114624506, 0.24863387978142076, 0.24175824175824176, 0.30029154518950435]"
12_4,-112.875 32.125_pWW,"[0.6293103448275862, 0.6666666666666666, 0.616600790513834, 0.5650224215246636, 0.5615763546798029, 0.6280193236714976, 0.8294392523364486, 0.8285077951002228, 0.723342939481268, 0.6377952755905512, 0.6271186440677966, 0.631768953068592]"
13_0,-112.625 32.125_mean,"[0.0014178293946562177, 0.0012531630804032197, 0.0010119813076894858, 4.1742864917602214E-4, 2.6516237317822703E-4, 4.138135447887317E-4, 0.0015265567085223158, 0.0013340722522413243, 0.0012651777024277383, 8.997164003438119E-4, 9.710432476992529E-4, 0.001167990849353373]"
13_1,-112.625 32.125_stdDev,"[0.003364107696517778, 0.00340137337833194, 0.003695235770264168, 0.001522742198524936, 0.0013575879053227505, 0.0018388440324241392, 0.0035742121967313866, 0.0029359478640489456, 0.0035344450222697336, 0.003001236097988932, 0.0038007776372292966, 0.0032398473932800115]"
13_2,-112.625 32.125_skew,"[3.5874307912192966, 4.125518351847839, 5.243509060032785, 5.192170716808049, 9.033477845153127, 8.6119175775527, 5.224906626083856, 5.700044205123412, 5.443154757109175, 4.891118684195507, 6.598176152523881, 4.679711305797456]"
13_3,-112.625 32.125_pWD,"[0.22135416666666666, 0.2945205479452055, 0.26536312849162014, 0.2699724517906336, 0.2271604938271605, 0.211340206185567, 0.3708609271523179, 0.49230769230769234, 0.3807531380753138, 0.24788732394366197, 0.2542372881355932, 0.2991202346041056]"
13_4,-112.625 32.125_pWW,"[0.6398305084745762, 0.684981684981685, 0.6335877862595419, 0.5864978902953587, 0.5720930232558139, 0.6132075471698113, 0.8805970149253731, 0.8693877551020408, 0.7451523545706371, 0.6641509433962264, 0.6341463414634146, 0.6379928315412187]"
14_0,-112.375 32.125_mean,"[0.0015457163888129813, 0.0012660102892039498, 9.838996894960034E-4, 4.0904931956902145E-4, 2.5816399310887964E-4, 4.8354796838955347E-4, 0.0014160095506856943, 0.0012816910474521322, 0.0012105812382412282, 8.875271098481285E-4, 0.001019124369767885, 0.001263386938565721]"
14_1,-112.375 32.125_stdDev,"[0.0036675050194867422, 0.0033655727647494585, 0.003703462279015265, 0.0015024312660659965, 0.001220479082485094, 0.0022680183951136784, 0.0031429581322163684, 0.0028965578067405777, 0.003400551638023208, 0.0026664176228126555, 0.0037350187553945166, 0.0031465897800003963]"
14_2,-112.375 32.125_skew,"[3.6738248134067404, 3.9808055194805476, 5.7265876096374395, 6.109515586971319, 8.600022817406286, 7.531183036200923, 4.671006256321956, 6.327654243209242, 5.349633795406783, 4.718477445125107, 5.965219259064012, 3.6878505269806765]"
14_3,-112.375 32.125_pWD,"[0.23015873015873015, 0.3041958041958042, 0.27586206896551724, 0.26944444444444443, 0.22524752475247525, 0.21761658031088082, 0.4172661870503597, 0.5038759689922481, 0.38461538461538464, 0.25501432664756446, 0.2556818181818182, 0.30930930930930933]"
14_4,-112.375 32.125_pWW,"[0.640495867768595, 0.6881720430107527, 0.6433823529411765, 0.5958333333333333, 0.5787037037037037, 0.6074766355140186, 0.8794178794178794, 0.8676171079429735, 0.7513661202185792, 0.6678966789667896, 0.6370967741935484, 0.6445993031358885]"
15_0,-112.125 32.125_mean,"[0.0016052575477995133, 0.001159264715947869, 8.810623357079449E-4, 3.7373670478578377E-4, 2.0537561167614156E-4, 4.829300010454989E-4, 0.001165285992201852, 0.0010824155388880021, 0.0010855907716405165, 8.482211949617676E-4, 0.0010074455443085455, 0.00127670900676296]"
15_1,-112.125 32.125_stdDev,"[0.0037855852969593267, 0.003107279205598575, 0.003434409449891887, 0.0015479764029006676, 9.509943453773634E-4, 0.0026690294307551896, 0.002525535133667284, 0.0026499170885542845, 0.003331197866741838, 0.0024718829087663047, 0.003575825942596952, 0.003039991447356142]"
15_2,-112.125 32.125_skew,"[3.586856114443771, 4.342260470493618, 5.985061448646463, 8.183712376768018, 9.039778248123747, 8.270335173115745, 4.455138063904495, 6.307709127393299, 5.786484918955125, 4.861306146116092, 5.332844510969801, 3.380013179389689]"
15_3,-112.125 32.125_pWD,"[0.2230971128608924, 0.31560283687943264, 0.2755681818181818, 0.2596685082872928, 0.22493887530562348, 0.20725388601036268, 0.4580152671755725, 0.4740740740740741, 0.3922413793103448, 0.25, 0.24788732394366197, 0.3123123123123123]"
15_4,-112.125 32.125_pWW,"[0.6443514644351465, 0.6855123674911661, 0.6343283582089553, 0.6050420168067226, 0.5639810426540285, 0.6261682242990654, 0.8773006134969326, 0.8680412371134021, 0.75, 0.667910447761194, 0.6408163265306123, 0.6411149825783972]"
16_0,-111.875 32.125_mean,"[0.0016763480340206572, 0.0010072088700586132, 8.529849485529743E-4, 3.517979771986028E-4, 1.5515252016484737E-4, 4.7876532255755784E-4, 0.00118277184705433, 0.0010149453369175789, 0.001195670837457751, 8.099782227506656E-4, 9.700369151416888E-4, 0.0011260303989823522]"
16_1,-111.875 32.125_stdDev,"[0.00391832942427601, 0.002512699421377605, 0.003359597943741982, 0.001518352032387332, 6.604956530392391E-4, 0.0028350021106401165, 0.0026458111748881535, 0.002410865375915955, 0.004278169790923677, 0.0028707986817649886, 0.003329833556985315, 0.002635214513575144]"
16_2,-111.875 32.125_skew,"[3.419139488259721, 3.751051797103282, 6.025458439302104, 7.789570391196338, 8.69538885068753, 9.56630423832629, 4.215344381682048, 5.387915374697781, 6.514094971640949, 9.04706173464426, 4.698251335021061, 3.1562952766285703]"
16_3,-111.875 32.125_pWD,"[0.2222222222222222, 0.3087719298245614, 0.27170868347338933, 0.26229508196721313, 0.22815533980582525, 0.20565552699228792, 0.40764331210191085, 0.4788732394366197, 0.39344262295081966, 0.24369747899159663, 0.2541899441340782, 0.32326283987915405]"
16_4,-111.875 32.125_pWW,"[0.630901287553648, 0.6857142857142857, 0.6273764258555133, 0.5854700854700855, 0.5480769230769231, 0.6208530805687204, 0.8617710583153347, 0.8577405857740585, 0.7275280898876404, 0.6692015209125475, 0.6239669421487604, 0.6332179930795848]"
17_0,-111.625 32.125_mean,"[0.0017769498498652315, 0.0010746513799458116, 9.330826505633738E-4, 3.8766359691234193E-4, 1.7234869728531313E-4, 5.310049182058431E-4, 0.0017181229595959308, 0.0014778803792815521, 0.0016692688178806124, 8.646623698837591E-4, 0.0011000946492384202, 0.0012280742926844236]"
17_1,-111.625 32.125_stdDev,"[0.0041185798671467605, 0.0027535093161691216, 0.0032938452590539507, 0.0015153848595322672, 6.988801383869367E-4, 0.002676046811099082, 0.003557334082492035, 0.003757066855936978, 0.00512202719030277, 0.0022503044631002702, 0.0035956500546766366, 0.0026595258841423434]"
17_2,-111.625 32.125_skew,"[3.6459326545085227, 4.308038877536421, 5.521271227727161, 7.005593222183592, 8.645287808908881, 8.355838365420427, 3.5160874438078733, 5.98849902442402, 5.777086914964207, 4.615934216907829, 4.844511198969157, 2.933007786165436]"
17_3,-111.625 32.125_pWD,"[0.24202127659574468, 0.3333333333333333, 0.28160919540229884, 0.2659279778393352, 0.22388059701492538, 0.2192513368983957, 0.40601503759398494, 0.5, 0.4, 0.2658959537572254, 0.25770308123249297, 0.32326283987915405]"
17_4,-111.625 32.125_pWW,"[0.6270491803278688, 0.6748251748251748, 0.6360294117647058, 0.5941422594142259, 0.5871559633027523, 0.6415929203539823, 0.8891170431211499, 0.8824701195219123, 0.7486486486486487, 0.6605839416058394, 0.6255144032921811, 0.6332179930795848]"
18_0,-111.375 32.125_mean,"[0.001852404726378154, 0.0011697901013246045, 8.783236416903409E-4, 4.067997686749647E-4, 1.6768253831700845E-4, 4.7288252295794826E-4, 0.0013841048931938135, 0.001208487832499577, 0.001743632685137938, 9.128771112601962E-4, 0.0010629741976467464, 0.0014142515612956211]"
18_1,-111.375 32.125_stdDev,"[0.004285851520009583, 0.0028927599455806016, 0.0028243138806346613, 0.0016453824908086833, 6.86806711052512E-4, 0.0023337213197138383, 0.0028701940148422016, 0.00284414488386709, 0.005191714923928482, 0.002239666660086164, 0.003416444167561791, 0.003027216306240891]"
18_2,-111.375 32.125_skew,"[3.5054087381170933, 4.372314518751639, 5.14863729449034, 7.601903961698228, 9.974135692464493, 8.575070465718182, 3.793484222594086, 5.2923404267190275, 5.627087313774286, 4.85939441267889, 4.756425723079476, 2.846806786667443]"
18_3,-111.375 32.125_pWD,"[0.24725274725274726, 0.32971014492753625, 0.28488372093023256, 0.28212290502793297, 0.2225, 0.24166666666666667, 0.4462809917355372, 0.5229357798165137, 0.3872340425531915, 0.26392961876832843, 0.2756598240469208, 0.327217125382263]"
18_4,-111.375 32.125_pWW,"[0.6484375, 0.6851211072664359, 0.6413043478260869, 0.5826446280991735, 0.5954545454545455, 0.6416666666666667, 0.8917835671342685, 0.8884540117416829, 0.7506849315068493, 0.6738351254480287, 0.640926640926641, 0.6382252559726962]"
19_0,-111.125 32.125_mean,"[0.0019092264563022624, 0.0012516158070260037, 8.182205756052132E-4, 3.9492632529052957E-4, 1.5568825089045472E-4, 4.235559321464376E-4, 9.931785806655167E-4, 8.663880612384452E-4, 0.0015554699658726653, 9.813633601445315E-4, 0.00102673056014026, 0.0015646166057657388]"
19_1,-111.125 32.125_stdDev,"[0.004315881390866234, 0.0030716959702893707, 0.0023950813548182385, 0.0017247908278143938, 6.893606730945464E-4, 0.002250340969339766, 0.002098266439155963, 0.0020690751436915193, 0.004996452089771108, 0.0028348260413485816, 0.0032422897871485236, 0.00335775371876838]"
19_2,-111.125 32.125_skew,"[3.3174248687897703, 4.493350223704234, 4.626084721533428, 8.519405892896835, 10.124650003585117, 9.84106179163765, 3.859373456974918, 5.678827605975644, 5.763768492558318, 5.956577611184041, 4.558724653798608, 2.94402989120523]"
